================ Training Loss (Wed Nov  9 13:32:06 2022) ================
epoch: 1, iters: 7600, time: 0.207, data: 0.001, D_A: 0.244, G_A: 0.288, cycle_A: 0.633, idt_A: 0.265, D_B: 0.217, G_B: 0.083, cycle_B: 0.455, idt_B: 0.416, 
epoch: 1, iters: 7700, time: 0.208, data: 0.001, D_A: 0.222, G_A: 0.459, cycle_A: 0.399, idt_A: 0.193, D_B: 0.265, G_B: 0.484, cycle_B: 0.389, idt_B: 0.327, 
epoch: 1, iters: 7800, time: 0.208, data: 0.001, D_A: 0.139, G_A: 0.405, cycle_A: 0.407, idt_A: 0.295, D_B: 0.092, G_B: 0.486, cycle_B: 0.884, idt_B: 0.238, 
epoch: 1, iters: 7900, time: 0.208, data: 0.001, D_A: 0.206, G_A: 0.290, cycle_A: 0.863, idt_A: 0.766, D_B: 0.103, G_B: 0.032, cycle_B: 1.189, idt_B: 0.330, 
epoch: 1, iters: 8000, time: 0.407, data: 0.001, D_A: 0.128, G_A: 0.068, cycle_A: 0.658, idt_A: 0.225, D_B: 0.634, G_B: 0.592, cycle_B: 0.765, idt_B: 0.355, 
epoch: 1, iters: 8100, time: 0.208, data: 0.001, D_A: 0.083, G_A: 0.945, cycle_A: 1.335, idt_A: 0.208, D_B: 0.086, G_B: 0.849, cycle_B: 0.494, idt_B: 0.477, 
epoch: 1, iters: 8200, time: 0.208, data: 0.001, D_A: 0.237, G_A: 0.846, cycle_A: 1.545, idt_A: 0.388, D_B: 0.296, G_B: 0.221, cycle_B: 0.611, idt_B: 0.587, 
epoch: 1, iters: 8300, time: 0.208, data: 0.001, D_A: 0.213, G_A: 0.384, cycle_A: 0.861, idt_A: 0.365, D_B: 0.235, G_B: 0.347, cycle_B: 0.469, idt_B: 0.500, 
epoch: 1, iters: 8400, time: 0.208, data: 0.001, D_A: 0.245, G_A: 0.029, cycle_A: 0.425, idt_A: 0.513, D_B: 0.613, G_B: 0.325, cycle_B: 0.690, idt_B: 0.486, 
epoch: 1, iters: 8500, time: 0.208, data: 0.001, D_A: 0.221, G_A: 0.406, cycle_A: 1.189, idt_A: 0.265, D_B: 0.212, G_B: 0.194, cycle_B: 0.461, idt_B: 0.171, 
epoch: 1, iters: 8600, time: 0.208, data: 0.001, D_A: 0.269, G_A: 0.695, cycle_A: 1.885, idt_A: 0.308, D_B: 0.265, G_B: 0.145, cycle_B: 0.445, idt_B: 0.886, 
epoch: 1, iters: 8700, time: 0.210, data: 0.001, D_A: 0.074, G_A: 0.539, cycle_A: 0.967, idt_A: 0.461, D_B: 0.044, G_B: 0.452, cycle_B: 1.064, idt_B: 0.281, 
epoch: 1, iters: 8800, time: 0.208, data: 0.001, D_A: 0.108, G_A: 0.434, cycle_A: 1.044, idt_A: 0.137, D_B: 0.173, G_B: 0.661, cycle_B: 0.389, idt_B: 0.578, 
epoch: 1, iters: 8900, time: 0.208, data: 0.001, D_A: 0.031, G_A: 0.817, cycle_A: 0.992, idt_A: 0.415, D_B: 0.054, G_B: 0.852, cycle_B: 1.277, idt_B: 0.420, 
epoch: 1, iters: 9000, time: 0.209, data: 0.001, D_A: 0.209, G_A: 0.635, cycle_A: 0.544, idt_A: 0.259, D_B: 0.161, G_B: 0.476, cycle_B: 0.451, idt_B: 0.416, 
epoch: 1, iters: 9100, time: 0.208, data: 0.001, D_A: 0.184, G_A: 0.451, cycle_A: 0.543, idt_A: 0.274, D_B: 0.129, G_B: 0.359, cycle_B: 0.302, idt_B: 0.320, 
epoch: 1, iters: 9200, time: 0.207, data: 0.001, D_A: 0.470, G_A: 0.274, cycle_A: 0.997, idt_A: 0.308, D_B: 0.374, G_B: 0.263, cycle_B: 0.361, idt_B: 0.218, 
epoch: 1, iters: 9300, time: 0.208, data: 0.001, D_A: 0.179, G_A: 0.538, cycle_A: 0.870, idt_A: 0.183, D_B: 0.164, G_B: 0.803, cycle_B: 0.452, idt_B: 0.581, 
epoch: 1, iters: 9400, time: 0.209, data: 0.002, D_A: 0.103, G_A: 0.154, cycle_A: 0.476, idt_A: 0.179, D_B: 0.404, G_B: 0.778, cycle_B: 0.424, idt_B: 0.251, 
epoch: 1, iters: 9500, time: 0.209, data: 0.001, D_A: 0.379, G_A: 0.670, cycle_A: 0.502, idt_A: 0.293, D_B: 0.099, G_B: 0.255, cycle_B: 1.071, idt_B: 0.353, 
epoch: 1, iters: 9600, time: 0.209, data: 0.001, D_A: 0.139, G_A: 0.537, cycle_A: 0.479, idt_A: 0.219, D_B: 0.157, G_B: 0.548, cycle_B: 0.584, idt_B: 0.526, 
epoch: 1, iters: 9700, time: 0.209, data: 0.001, D_A: 0.220, G_A: 0.360, cycle_A: 0.366, idt_A: 0.181, D_B: 0.329, G_B: 0.337, cycle_B: 0.264, idt_B: 0.306, 
epoch: 1, iters: 9800, time: 0.209, data: 0.001, D_A: 0.202, G_A: 0.303, cycle_A: 0.615, idt_A: 0.313, D_B: 0.299, G_B: 0.370, cycle_B: 0.826, idt_B: 0.132, 
epoch: 1, iters: 9900, time: 0.209, data: 0.001, D_A: 0.122, G_A: 0.313, cycle_A: 0.477, idt_A: 0.479, D_B: 0.116, G_B: 0.529, cycle_B: 1.008, idt_B: 0.205, 
epoch: 1, iters: 10000, time: 0.395, data: 0.001, D_A: 0.208, G_A: 0.145, cycle_A: 0.780, idt_A: 0.332, D_B: 0.444, G_B: 0.974, cycle_B: 0.713, idt_B: 0.515, 
epoch: 1, iters: 10100, time: 0.208, data: 0.002, D_A: 0.169, G_A: 0.592, cycle_A: 2.319, idt_A: 0.339, D_B: 0.293, G_B: 0.112, cycle_B: 0.506, idt_B: 0.809, 
epoch: 1, iters: 10200, time: 0.207, data: 0.001, D_A: 0.103, G_A: 0.683, cycle_A: 1.119, idt_A: 0.246, D_B: 0.130, G_B: 0.315, cycle_B: 0.492, idt_B: 0.399, 
epoch: 1, iters: 10300, time: 0.209, data: 0.001, D_A: 0.150, G_A: 0.433, cycle_A: 0.429, idt_A: 0.156, D_B: 0.120, G_B: 0.552, cycle_B: 0.569, idt_B: 0.263, 
epoch: 1, iters: 10400, time: 0.209, data: 0.001, D_A: 0.099, G_A: 0.081, cycle_A: 0.674, idt_A: 0.786, D_B: 0.293, G_B: 0.748, cycle_B: 1.395, idt_B: 0.353, 
epoch: 1, iters: 10500, time: 0.208, data: 0.001, D_A: 0.337, G_A: 0.076, cycle_A: 0.877, idt_A: 0.249, D_B: 0.397, G_B: 0.729, cycle_B: 0.621, idt_B: 0.789, 
epoch: 1, iters: 10600, time: 0.208, data: 0.001, D_A: 0.197, G_A: 0.823, cycle_A: 0.795, idt_A: 0.259, D_B: 0.138, G_B: 0.379, cycle_B: 0.792, idt_B: 0.426, 
epoch: 1, iters: 10700, time: 0.208, data: 0.001, D_A: 0.411, G_A: 0.419, cycle_A: 0.732, idt_A: 0.820, D_B: 0.316, G_B: 0.193, cycle_B: 1.364, idt_B: 0.591, 
epoch: 1, iters: 10800, time: 0.208, data: 0.002, D_A: 0.177, G_A: 0.409, cycle_A: 0.551, idt_A: 0.318, D_B: 0.265, G_B: 0.134, cycle_B: 0.596, idt_B: 0.312, 
epoch: 1, iters: 10900, time: 0.208, data: 0.001, D_A: 0.063, G_A: 1.025, cycle_A: 0.621, idt_A: 0.280, D_B: 0.132, G_B: 0.547, cycle_B: 0.513, idt_B: 0.267, 
epoch: 1, iters: 11000, time: 0.209, data: 0.001, D_A: 0.219, G_A: 0.794, cycle_A: 0.992, idt_A: 0.211, D_B: 0.152, G_B: 0.283, cycle_B: 0.508, idt_B: 0.547, 
epoch: 1, iters: 11100, time: 0.210, data: 0.001, D_A: 0.072, G_A: 0.683, cycle_A: 0.875, idt_A: 0.377, D_B: 0.230, G_B: 0.140, cycle_B: 0.755, idt_B: 0.148, 
epoch: 1, iters: 11200, time: 0.209, data: 0.001, D_A: 0.222, G_A: 0.157, cycle_A: 0.438, idt_A: 0.309, D_B: 0.254, G_B: 0.505, cycle_B: 0.624, idt_B: 0.693, 
epoch: 1, iters: 11300, time: 0.208, data: 0.001, D_A: 0.122, G_A: 0.677, cycle_A: 0.698, idt_A: 0.495, D_B: 0.028, G_B: 0.617, cycle_B: 0.939, idt_B: 0.470, 
epoch: 1, iters: 11400, time: 0.209, data: 0.001, D_A: 0.298, G_A: 0.094, cycle_A: 0.768, idt_A: 0.131, D_B: 0.196, G_B: 0.466, cycle_B: 0.289, idt_B: 0.338, 
epoch: 1, iters: 11500, time: 0.208, data: 0.001, D_A: 0.131, G_A: 0.996, cycle_A: 0.458, idt_A: 0.290, D_B: 0.132, G_B: 0.707, cycle_B: 0.683, idt_B: 0.436, 
epoch: 1, iters: 11600, time: 0.209, data: 0.001, D_A: 0.366, G_A: 0.256, cycle_A: 0.586, idt_A: 0.340, D_B: 0.227, G_B: 0.144, cycle_B: 1.127, idt_B: 0.291, 
epoch: 1, iters: 11700, time: 0.210, data: 0.001, D_A: 0.257, G_A: 0.592, cycle_A: 0.527, idt_A: 0.357, D_B: 0.176, G_B: 0.315, cycle_B: 0.499, idt_B: 0.260, 
epoch: 1, iters: 11800, time: 0.210, data: 0.001, D_A: 0.057, G_A: 0.332, cycle_A: 0.797, idt_A: 0.137, D_B: 0.113, G_B: 0.344, cycle_B: 0.317, idt_B: 0.264, 
epoch: 1, iters: 11900, time: 0.210, data: 0.001, D_A: 0.060, G_A: 0.516, cycle_A: 0.953, idt_A: 0.212, D_B: 0.112, G_B: 0.452, cycle_B: 0.475, idt_B: 0.333, 
epoch: 1, iters: 12000, time: 0.398, data: 0.001, D_A: 0.114, G_A: 0.841, cycle_A: 0.656, idt_A: 0.198, D_B: 0.029, G_B: 0.757, cycle_B: 0.416, idt_B: 0.234, 
